Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,85.35,-59.0,0.0,top
C10,22pF,C_0402_1005Metric,78.945,-67.475,0.0,top
C11,1uF,C_0402_1005Metric,83.275,-52.6,90.0,top
C12,10uF,C_0805_2012Metric,83.9,-45.35,180.0,top
C13,100nF,C_0402_1005Metric,82.35,-52.6,90.0,top
C14,100nF,C_0402_1005Metric,81.85,-63.43,-90.0,top
C15,10uF,C_0402_1005Metric,82.955,-50.9,180.0,top
C16,10uF,C_0402_1005Metric,84.78,-50.9,180.0,top
C2,100nF,C_0402_1005Metric,84.9,-54.775,90.0,top
C3,100nF,C_0402_1005Metric,75.1,-59.525,-90.0,top
C4,100nF,C_0402_1005Metric,85.125,-52.6,90.0,top
C5,100nF,C_0402_1005Metric,80.85,-63.195,-90.0,top
C6,100nF,C_0402_1005Metric,75.675,-54.775,90.0,top
C7,1uF,C_0402_1005Metric,84.2,-52.6,90.0,top
C8,100nF,C_0402_1005Metric,77.83,-49.41,180.0,top
C9,22pF,C_0402_1005Metric,79.025,-63.125,0.0,top
D1,1N5819WS,D_SOD-323,83.85,-39.15,180.0,top
D2,LED_PWR,LED_0603_1608Metric,82.225,-41.8625,-90.0,top
D3,LED_USR,LED_0603_1608Metric,76.9375,-46.25,0.0,top
D4,LED_RGB,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,82.452,-72.075,180.0,top
H1,H1,OrphPicoHeaders,71.67,-56.12,0.0,top
H2,H2,OrphPicoHeaders,89.45,-56.12,0.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB-C-SMD_TYPE-C-6PIN-2MD-073,80.56,-35.0,180.0,top
R1,10K,R_0402_1005Metric,76.425,-48.95,-90.0,top
R10,1K,R_0402_1005Metric,83.5,-63.86,90.0,top
R2,1K,R_0402_1005Metric,75.375,-34.86,90.0,top
R3,1K,R_0402_1005Metric,81.1,-52.9,-90.0,top
R4,1K,R_0402_1005Metric,81.575,-50.74,-90.0,top
R5,5K1,R_0402_1005Metric,81.775,-39.14,-90.0,top
R6,5K1,R_0402_1005Metric,78.825,-39.125,-90.0,top
R7,1K,R_0402_1005Metric,77.065,-67.5,0.0,top
R8,470R,R_0402_1005Metric,82.015,-43.85,0.0,top
R9,330R,R_0402_1005Metric,78.175,-47.925,90.0,top
SW1,BTN_BOOT,SW-SMD_L3.9-W3.0-P4.45,76.675,-41.25,-90.0,top
SW2,BTN_RST,SW-SMD_L3.9-W3.0-P4.45,82.625,-67.875,90.0,top
SW3,BTN_USR,SW-SMD_L3.9-W3.0-P4.45,77.35,-71.0,-90.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,80.3,-58.0,0.0,top
U2,W25Q16JVUXIQ,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,77.6,-51.15,0.0,top
U3,USBLC6-2SC6,SOT-23-6,80.475,-47.7625,-90.0,top
U4,ME2135A33M6G,SOT-23-6,83.9,-48.3875,90.0,top
X1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,78.225,-65.3,0.0,top
