Designator,Mid X,Mid Y,Rotation,Layer
D1,137.16,-78.74,180.0,top
D10,104.14,-91.44,0.0,top
D11,104.14,-93.98,0.0,top
D12,104.14,-96.52,0.0,top
D13,104.14,-101.6,0.0,top
D14,104.14,-104.14,0.0,top
D15,104.14,-106.68,0.0,top
D16,104.14,-109.22,0.0,top
D17,104.14,-114.3,0.0,top
D18,104.14,-116.84,0.0,top
D19,132.08,-116.84,180.0,top
D2,137.16,-68.58,180.0,top
D20,132.08,-114.3,180.0,top
D21,132.08,-109.22,180.0,top
D22,132.08,-106.68,180.0,top
D23,132.08,-104.14,180.0,top
D24,132.08,-101.6,180.0,top
D25,132.08,-96.52,180.0,top
D27,132.08,-81.28,180.0,top
D29,132.08,-91.44,180.0,top
D3,104.14,-68.58,0.0,top
D30,132.08,-88.9,180.0,top
D31,132.08,-83.82,180.0,top
D33,132.08,-86.36,180.0,top
D4,104.14,-71.12,0.0,top
D5,104.14,-76.2,0.0,top
D6,104.14,-78.74,0.0,top
D7,104.14,-81.28,0.0,top
D8,104.14,-83.82,0.0,top
D9,104.14,-88.9,0.0,top
R1,99.06,-68.58,0.0,top
R10,99.06,-96.52,0.0,top
R11,99.06,-101.6,0.0,top
R12,99.06,-104.14,0.0,top
R13,99.06,-106.68,0.0,top
R14,99.06,-109.22,0.0,top
R15,99.06,-114.3,0.0,top
R16,99.06,-116.84,0.0,top
R17,137.16,-116.84,180.0,top
R18,137.16,-114.3,180.0,top
R19,137.16,-109.22,180.0,top
R2,99.06,-71.12,0.0,top
R20,137.16,-106.68,180.0,top
R21,137.16,-104.14,180.0,top
R22,137.16,-101.6,180.0,top
R23,137.16,-96.52,180.0,top
R24,132.08,-68.58,180.0,top
R25,137.16,-81.28,180.0,top
R26,132.08,-78.74,180.0,top
R27,137.16,-91.44,180.0,top
R28,137.16,-88.9,180.0,top
R29,137.16,-83.82,180.0,top
R3,99.06,-76.2,0.0,top
R31,137.16,-86.36,180.0,top
R32,152.43,-73.66,0.0,top
R4,99.06,-78.74,0.0,top
R5,99.06,-81.28,0.0,top
R6,99.06,-83.82,0.0,top
R7,99.06,-88.9,0.0,top
R8,99.06,-91.44,0.0,top
R9,99.06,-93.98,0.0,top
